Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Staatus;Selgitus
A0093;;Kodune peritoneaaldialüüs;Home based peritonal dialysis;;0;01.01.2022;;;1;
A0094;;Patsiendijuhitud hemodialüüs;Patient administered hemodialysis;;0;01.01.2022;;;1;
AA026;;Botulismitoksiini süstimine EMG kontrolli all;Botulinus toxin therapy with EMG guidance;;0;01.01.2022;;;1;
AA064;;Ajuvatsakese punktsioon;Puncture of brain ventricle;;0;01.01.2022;;;1;
AA500;;Korduv transkraniaalne magnetstimulatsioon;Repeating transcranial magnetic stimulation;;0;01.01.2022;;;1;
AA5LT;;Intrakraniaalne termokoagulatsioon;Intracranial heat coagulation;;0;01.01.2022;;;1;
AA70A;;Ühe ajupoolkera indutseeritud paralüüs (Wada test);Induced paralysis of one hemisphere (Wada-test);;0;01.01.2022;;;1;
AAA00;;Eksploratiivne kraniotoomia;Exploratory craniotomy;;0;01.01.2003;;;1;
AAA10;;Biopsia kraniotoomia kaudu;Biopsy through craniotomy;;0;01.01.2003;;;1;
AAA14;;Endoskoopiline biopsia kraniotoomia kaudu;Endoscopic biopsy through craniotomy;;0;01.01.2022;;;1;
AAA20;;Intraventrikulaarse rõhuanduri paigaldamine intrakraniaalse rõhu monitooringuks;Insertion of intraventricular pressure monitoring device;;0;01.01.2003;;;1;
AAA25;;Epiduraalse rõhuanduri paigaldamine intrakraniaalse rõhu monitooringuks;Insertion of epidural pressure monitoring device;;0;01.01.2003;;;1;
AAA27;;Intratserebraalse rõhuanduri paigaldamine intrakraniaalse rõhu monitooringuks;Insertion of intracerebral pressure monitoring device;;0;01.01.2003;;;1;
AAA30;;Epiduraalsete elektroodide paigaldamine;Insertion of epidural electrodes;;0;01.01.2003;;;1;
AAA35;;Subduraalsete elektroodide paigaldamine;Insertion of subdural electrodes;;0;01.01.2003;;;1;
AAA40;;Intratserebraalsete elektroodide paigaldamine;Insertion of intracerebral electrodes;;0;01.01.2003;;;1;
AAA50;;Intrakraniaalne endoskoopia;Intracranial endoscopy;;0;01.01.2010;;;1;
AAA99;;Muu diagnostiline intrakraniaalne protseduur;Other diagnostic intracranial procedures;;0;01.01.2003;;;1;
AAB00;;Intrakraniaalse kahjustuskolde ekstirpatsioon;Extirpation of intracranial lesion;;0;01.01.2003;;;1;
AAB06;;Perkutaanne koljubiopsia;Percutaneous biopsy of skull;;0;01.01.2022;;;1;
AAB10;;Intrakraniaalse kahjustuskolde osaline ekstsisioon;Partial excision of intracranial lesion;;0;01.01.2003;;;1;
AAB20;;Intrakraniaalse kahjustuskolde destruktsioon;Destruction of intracranial lesion;;0;01.01.2003;;;1;
AAB30;;Spontaanse intrakraniaalse hematoomi evakuatsioon;Evacuation of spontaneous intracranial haematoma;;0;01.01.2003;;;1;
AAB99;;Intrakraniaalse kahjustuskolde muu ekstsisioon või destruktsioon;Other excision or destruction of intracranial lesion;;0;01.01.2003;;;1;
AAC00;;Intrakraniaalse aneurüsmi klipsimine või ligeerimine;Ligature of intracranial aneurysm;;0;01.01.2003;;;1;
AAC05;;Intrakraniaalse aneurüsmi toitva arteri ligeerimine;Ligature of feeding artery of intracranial aneurysm;;0;01.01.2003;;;1;
AAC10;;Intrakraniaalse aneurüsmi seina tugevdamine;Reinforcement of intracranial aneurysm wall;;0;01.01.2003;;;1;
AAC15;;Intrakraniaalse aneurüsmi okluseerimine;Trapping of intracranial aneurysm;;0;01.01.2003;;;1;
AAC20;;Anastomoos intrakraniaalsele veresoonele;Anastomosis to intracranial vessel;;0;01.01.2003;;;1;
AAC30;;Vaskulaarse fistuli intrakraniaalne okluseerimine;Intracranial occlusion of vascular fistula;;0;01.01.2003;;;1;
AAC40;;Intrakraniaalse artero-venoosse malformatsiooni ekstirpatsioon;Extirpation of intracranial arterio-venous malformation;;0;01.01.2003;;;1;
AAC45;;Kavernoossiinuse vaskulaarne operatsioon ;Vascular operation on sinus cavernosus;;0;01.01.2022;;;1;
AAC99;;Muu operatsioon aneurüsmi või intrakraniaalse vaskulaarse kahjustuse korral;Other operation for aneurysm or other intracranial vascular lesion;;0;01.01.2003;;;1;
AAD00;;Epiduraalse hematoomi evakuatsioon;Evacuation of epidural haematoma;;0;01.01.2003;;;1;
AAD05;;Ägeda subduraalse hematoomi evakuatsioon;Evacuation of acute subdural haematoma;;0;01.01.2003;;;1;
AAD10;;Kroonilise subduraalse hematoomi evakuatsioon;Evacuation of chronic subdural haematoma;;0;01.01.2003;;;1;
